Plot,Observer,Date,Direction,Height,Distance,Score
CS_08,Gabby,2019-07-11,211,1.5,25,5
CS_08,Gabby,2019-07-11,211,2,25,5
CS_08,Gabby,2019-07-11,211,2.5,25,5
CS_08,Gabby,2019-07-11,211,0.5,30,5
CS_08,Gabby,2019-07-11,211,1,30,5
CS_08,Gabby,2019-07-11,211,1.5,30,5
CS_08,Gabby,2019-07-11,211,2,30,5
CS_08,Gabby,2019-07-11,211,2.5,30,5
CS_09,Gabby,2019-07-11,133,0.5,5,5
CS_09,Gabby,2019-07-11,133,1,5,4
CS_09,Gabby,2019-07-11,133,1.5,5,2
CS_09,Gabby,2019-07-11,133,2,5,3
CS_09,Gabby,2019-07-11,133,2.5,5,1
CS_09,Gabby,2019-07-11,133,0.5,10,5
CS_09,Gabby,2019-07-11,133,1,10,5
CS_09,Gabby,2019-07-11,133,1.5,10,3
CS_09,Gabby,2019-07-11,133,2,10,3
CS_09,Gabby,2019-07-11,133,2.5,10,2
CS_09,Gabby,2019-07-11,133,0.5,15,5
CS_09,Gabby,2019-07-11,133,1,15,5
CS_09,Gabby,2019-07-11,133,1.5,15,4
CS_09,Gabby,2019-07-11,133,2,15,5
CS_09,Gabby,2019-07-11,133,2.5,15,2
CS_09,Gabby,2019-07-11,133,0.5,20,5
CS_09,Gabby,2019-07-11,133,1,20,5
CS_09,Gabby,2019-07-11,133,1.5,20,5
CS_09,Gabby,2019-07-11,133,2,20,5
CS_09,Gabby,2019-07-11,133,2.5,20,4
CS_09,Gabby,2019-07-11,133,0.5,25,5
CS_09,Gabby,2019-07-11,133,1,25,5
CS_09,Gabby,2019-07-11,133,1.5,25,5
CS_09,Gabby,2019-07-11,133,2,25,5
CS_09,Gabby,2019-07-11,133,2.5,25,5
CS_09,Gabby,2019-07-11,133,0.5,30,5
CS_09,Gabby,2019-07-11,133,1,30,5
CS_09,Gabby,2019-07-11,133,1.5,30,5
CS_09,Gabby,2019-07-11,133,2,30,5
CS_09,Gabby,2019-07-11,133,2.5,30,5
CS_10,Gabby,2019-07-10,136,0.5,5,2
CS_10,Gabby,2019-07-10,136,1,5,2
CS_10,Gabby,2019-07-10,136,1.5,5,2
CS_10,Gabby,2019-07-10,136,2,5,1
CS_10,Gabby,2019-07-10,136,2.5,5,1
CS_10,Gabby,2019-07-10,136,0.5,10,5
CS_10,Gabby,2019-07-10,136,1,10,5
CS_10,Gabby,2019-07-10,136,1.5,10,3
CS_10,Gabby,2019-07-10,136,2,10,1
CS_10,Gabby,2019-07-10,136,2.5,10,1
CS_10,Gabby,2019-07-10,136,0.5,15,5
CS_10,Gabby,2019-07-10,136,1,15,5
CS_10,Gabby,2019-07-10,136,1.5,15,4
CS_10,Gabby,2019-07-10,136,2,15,2
CS_10,Gabby,2019-07-10,136,2.5,15,1
CS_10,Gabby,2019-07-10,136,0.5,20,5
CS_10,Gabby,2019-07-10,136,1,20,5
CS_10,Gabby,2019-07-10,136,1.5,20,5
CS_10,Gabby,2019-07-10,136,2,20,5
CS_10,Gabby,2019-07-10,136,2.5,20,2
CS_10,Gabby,2019-07-10,136,0.5,25,5
CS_10,Gabby,2019-07-10,136,1,25,5
CS_10,Gabby,2019-07-10,136,1.5,25,5
CS_10,Gabby,2019-07-10,136,2,25,5
CS_10,Gabby,2019-07-10,136,2.5,25,5
CS_10,Gabby,2019-07-10,136,0.5,30,5
CS_10,Gabby,2019-07-10,136,1,30,5
CS_10,Gabby,2019-07-10,136,1.5,30,5
CS_10,Gabby,2019-07-10,136,2,30,5
CS_10,Gabby,2019-07-10,136,2.5,30,5
CS_11,Yolanda,2019-07-11,60,0.5,5,3
CS_11,Yolanda,2019-07-11,60,1,5,3
CS_11,Yolanda,2019-07-11,60,1.5,5,3
CS_11,Yolanda,2019-07-11,60,2,5,2
CS_11,Yolanda,2019-07-11,60,2.5,5,1
CS_11,Yolanda,2019-07-11,60,0.5,10,5
CS_11,Yolanda,2019-07-11,60,1,10,5
CS_11,Yolanda,2019-07-11,60,1.5,10,5
CS_11,Yolanda,2019-07-11,60,2,10,5
CS_11,Yolanda,2019-07-11,60,2.5,10,5
CS_11,Yolanda,2019-07-11,60,0.5,15,5
CS_11,Yolanda,2019-07-11,60,1,15,5
CS_11,Yolanda,2019-07-11,60,1.5,15,5
CS_11,Yolanda,2019-07-11,60,2,15,5
CS_11,Yolanda,2019-07-11,60,2.5,15,5
CS_11,Yolanda,2019-07-11,60,0.5,20,5
CS_11,Yolanda,2019-07-11,60,1,20,5
CS_11,Yolanda,2019-07-11,60,1.5,20,5
CS_11,Yolanda,2019-07-11,60,2,20,5
CS_11,Yolanda,2019-07-11,60,2.5,20,5
CS_11,Yolanda,2019-07-11,60,0.5,25,5
CS_11,Yolanda,2019-07-11,60,1,25,5
CS_11,Yolanda,2019-07-11,60,1.5,25,5
CS_11,Yolanda,2019-07-11,60,2,25,5
CS_11,Yolanda,2019-07-11,60,2.5,25,5
CS_11,Yolanda,2019-07-11,60,0.5,30,5
CS_11,Yolanda,2019-07-11,60,1,30,5
CS_11,Yolanda,2019-07-11,60,1.5,30,5
CS_11,Yolanda,2019-07-11,60,2,30,5
CS_11,Yolanda,2019-07-11,60,2.5,30,5
CS_12,Yolanda,2019-07-12,280,0.5,5,4
CS_12,Yolanda,2019-07-12,280,1,5,1
CS_12,Yolanda,2019-07-12,280,1.5,5,1
CS_12,Yolanda,2019-07-12,280,2,5,1
CS_12,Yolanda,2019-07-12,280,2.5,5,1
CS_12,Yolanda,2019-07-12,280,0.5,10,5
CS_12,Yolanda,2019-07-12,280,1,10,5
CS_12,Yolanda,2019-07-12,280,1.5,10,5
CS_12,Yolanda,2019-07-12,280,2,10,5
CS_12,Yolanda,2019-07-12,280,2.5,10,5
CS_12,Yolanda,2019-07-12,280,0.5,15,5
CS_12,Yolanda,2019-07-12,280,1,15,5
CS_12,Yolanda,2019-07-12,280,1.5,15,5
CS_12,Yolanda,2019-07-12,280,2,15,5
CS_12,Yolanda,2019-07-12,280,2.5,15,5
CS_12,Yolanda,2019-07-12,280,0.5,20,5
CS_12,Yolanda,2019-07-12,280,1,20,5
CS_12,Yolanda,2019-07-12,280,1.5,20,5
