,BadPoint,Var_X,Var_Y,Cov_XY,AngleDiff,Date,Time,Frequency,coords.x1,coords.x2,datetime
84,0,285.541522,203.8770109,-15.70095732,5.170978428,2017-08-21,101507,149.535,-53.98173812,48.35073854,2017-08-21 10:15
85,1,0,0,0,0,2017-08-22,142341,149.535,-53.98245037,48.35195364,2017-08-22 14:23
86,0,174.1327166,73.61514719,-6.863303695,3.872500317,2017-08-23,110952,149.535,-53.98221362,48.35172668,2017-08-23 11:09
87,0,369.6706326,101.5140494,-71.85943679,4.928429642,2017-08-24,100600,149.535,-53.98258985,48.35160284,2017-08-24 10:06
88,1,0,0,0,0,2017-08-29,147376,149.535,-53.98385706,48.3526392,2017-08-29 15:13
89,0,55.29181671,45.34148434,-4.524240845,2.64747574,2017-08-30,125026,149.535,-53.98195776,48.35143986,2017-08-30 12:50
90,1,0,0,0,0,2017-08-31,151241,149.535,-53.98219804,48.3516646,2017-08-31 15:12
91,0,0.879660021,1.642304453,0.430167724,0.249310694,2017-09-01,94635,149.535,-53.98342908,48.35212635,2017-09-01 9:46
92,0,154.979333,295.1788163,51.37298365,2.453581846,2017-06-25,192100,149.673,-53.98445205,48.34976175,2017-06-25 19:21
93,0,959.5131337,1115.983929,760.9693918,2.862502271,2017-06-26,82449,149.673,-53.98904729,48.35021181,2017-06-26 8:24
94,1,0,0,0,0,2017-07-16,104155,149.673,-53.98664233,48.35241112,2017-07-16 10:41
95,0,4.427338562,13.37385693,3.508405236,0.699180578,2017-07-16,171642,149.673,-53.98712644,48.35143895,2017-07-16 17:16
96,0,56.8742603,72.50486022,49.85841041,1.344447157,2017-07-19,95114,149.673,-53.98688241,48.35077893,2017-07-19 9:51
97,0,1741.72773,1195.720431,882.3822814,6.497628539,2017-07-19,170832,149.673,-53.9867029,48.35112894,2017-07-19 17:08
98,0,2.6236321,2.786261122,2.393600385,0.325550034,2017-07-22,103427,149.673,-53.98740177,48.35204505,2017-07-22 10:34
99,1,0,0,0,0,2017-07-24,103804,149.673,-53.98501187,48.35080906,2017-07-24 10:38
100,0,109.0663988,160.7952569,29.39861135,5.207746125,2017-07-27,163018,149.673,-53.98595967,48.35106885,2017-07-27 16:30
101,1,0,0,0,0,2017-07-29,129064,149.673,-53.98364953,48.35035014,2017-07-29 13:30
102,0,50.15015656,41.83541686,14.24436393,2.656372909,2017-08-03,177861,149.673,-53.98525124,48.35043429,2017-08-03 18:28
