CollarFrequency.x,MeanOverPCA_Home,MeanUnderPCA_Home,NumberPoints_Home,geometry,ID.x,MeanCN_Home,MeanCP_Home,NumberCells_Home,CollarFrequency1,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,ratio,CollarFrequency.y,MeanOverPCA_Core,MeanUnderPCA_Core,NumberPoints_Core,ID.y,MeanCN_Core,MeanCP_Core,NumberCells_Core
149.535,-0.5541016290700325,0.46464369103302694,17,"c(861532.126889, 861540.254636, 861650.016843, 861658.143861, 861665.122222, 861742.279266, 861749.277221, 861757.339638, 861757.402843, 861771.374164, 861842.408965, 861842.626048, 861842.756188, 861843.061333, 861843.407981, 861932.086186, 861933.149237, 5384388.48445, 5384456.4535, 5384254.21955, 5384322.18887, 5384479.8877, 5384229.51871, 5384308.92822, 5384455.61108, 5384376.89778, 5384614.00654, 5384576.0912, 5384273.21275, 5384497.40567, 5384419.14384, 5384340.45831, 5384349.2053, 5384416.47881
)",11,47.017631957580996,1346.3077938906797,143,X149.535,1.17,1.53,1.89,2.25,2.7,3.15,3.69,4.23,4.86,5.58,6.48,7.56,8.91,10.8,13.68,18.36,0.20098039215686275,NA,NA,NA,NA,NA,NA,NA,NA
149.594,-0.6366199517677436,0.43597640097318946,26,"c(861658.143861, 861665.122222, 861672.119962, 861679.441388, 861705.488155, 861749.277221, 861757.339638, 861757.402843, 861764.37804, 861771.374164, 861773.219547, 861779.780505, 861842.408965, 861842.626048, 861842.756188, 861843.061333, 861843.407981, 861849.72802, 861885.287111, 861932.086186, 861933.149237, 861934.012169, 861937.247679, 861939.836933, 861940.143675, 861947.112887, 5384322.18887, 5384479.8877, 5384559.29705, 5384638.31058, 5384752.96884, 5384308.92822, 5384455.61108, 5384376.89778, 
5384534.59694, 5384614.00654, 5384748.52535, 5384682.00403, 5384576.0912, 5384273.21275, 5384497.40567, 5384419.14384, 5384340.45831, 5384655.10513, 5384748.45621, 5384349.2053, 5384416.47881, 5384708.34136, 5384753.58234, 5384574.15071, 5384495.88878, 5384653.58857)",12,47.12308305309665,1340.4491370416456,248,X149.594,2.34,3.06,3.78,4.5,5.4,6.3,7.29,8.37,9.63,11.16,12.87,14.94,17.55,21.06,26.1,34.02,0.21428571428571427,NA,NA,NA,NA,NA,NA,NA,NA
149.613,-0.4476184511099705,0.40443399299200294,24,"c(861650.016843, 861658.143861, 861665.122222, 861672.119962, 861679.441388, 861749.277221, 861757.339638, 861757.402843, 861764.37804, 861771.374164, 861773.219547, 861779.780505, 861842.408965, 861842.756188, 861843.061333, 861843.407981, 861849.72802, 861885.287111, 861933.149237, 861934.012169, 861937.247679, 861939.836933, 861940.143675, 861947.112887, 5384254.21955, 5384322.18887, 5384479.8877, 5384559.29705, 5384638.31058, 5384308.92822, 5384455.61108, 5384376.89778, 5384534.59694, 5384614.00654, 
5384748.52535, 5384682.00403, 5384576.0912, 5384497.40567, 5384419.14384, 5384340.45831, 5384655.10513, 5384748.45621, 5384416.47881, 5384708.34136, 5384753.58234, 5384574.15071, 5384495.88878, 5384653.58857)",13,47.07897721736803,1327.0503181667502,218,X149.613,1.89,2.43,3.06,3.69,4.5,5.22,6.12,7.2,8.28,9.72,11.25,13.23,15.57,18.9,23.58,30.96,0.19767441860465115,NA,NA,NA,NA,NA,NA,NA,NA
149.633,-0.32596364803322486,0.3826379251248265,33,"c(861434.738929, 861532.126889, 861540.254636, 861547.235005, 861547.578353, 861658.143861, 861665.122222, 861672.119962, 861679.441388, 861705.488155, 861742.279266, 861749.277221, 861757.339638, 861757.402843, 861764.37804, 861771.374164, 861773.219547, 861779.780505, 861835.346752, 861842.408965, 861842.626048, 861842.756188, 861843.061333, 861843.407981, 861849.72802, 861885.287111, 861932.086186, 861933.149237, 861934.012169, 861937.247679, 861939.836933, 861940.143675, 861947.112887, 5384390.00847, 
5384388.48445, 5384456.4535, 5384614.15194, 5384535.46671, 5384322.18887, 5384479.8877, 5384559.29705, 5384638.31058, 5384752.96884, 5384229.51871, 5384308.92822, 5384455.61108, 5384376.89778, 5384534.59694, 5384614.00654, 5384748.52535, 5384682.00403, 5384193.77517, 5384576.0912, 5384273.21275, 5384497.40567, 5384419.14384, 5384340.45831, 5384655.10513, 5384748.45621, 5384349.2053, 5384416.47881, 5384708.34136, 5384753.58234, 5384574.15071, 5384495.88878, 5384653.58857)",14,47.11627554971664,1340.4086926069415,305,X149.633,2.43,3.15,3.96,4.95,5.94,7.2,8.55,10.17,12.06,14.13,16.56,19.26,22.68,26.91,32.58,41.13,0.20787746170678337,NA,NA,NA,NA,NA,NA,NA,NA
149.673,0.6359193335844873,-0.3975344476612561,18,"c(861317.833663, 861317.848511, 861318.621628, 861319.272677, 861325.624671, 861393.26768, 861419.623465, 861426.950281, 861433.952425, 861434.738929, 861442.0644, 861468.348392, 861525.14413, 861532.126889, 861532.469193, 861543.711797, 861617.707028, 861650.016843, 5384288.64592, 5384210.3568, 5384355.89093, 5384120.6555, 5384435.29947, 5384127.94674, 5384164.34166, 5384243.35456, 5384322.76334, 5384390.00847, 5384469.02141, 5384124.22267, 5384230.78608, 5384388.48445, 5384309.79923, 5384120.52742, 
5384127.82162, 5384254.21955)",15,46.7987388513856,1406.0890906382415,236,X149.673,1.98,2.61,3.24,3.96,4.77,5.67,6.57,7.65,8.91,10.26,11.79,13.59,15.75,18.54,22.5,28.62,0.22955974842767296,NA,NA,NA,NA,NA,NA,NA,NA
150.032,0.24217840470131605,0.09056052188084247,21,"c(861317.833663, 861317.848511, 861319.272677, 861393.26768, 861419.623465, 861426.950281, 861433.952425, 861468.348392, 861525.14413, 861543.711797, 861617.707028, 861650.016843, 861700.173228, 861742.279266, 861766.825518, 861827.221171, 861835.346752, 861842.626048, 861878.905016, 861923.245794, 861942.669778, 5384288.64592, 5384210.3568, 5384120.6555, 5384127.94674, 5384164.34166, 5384243.35456, 5384322.76334, 5384124.22267, 5384230.78608, 5384120.52742, 5384127.82162, 5384254.21955, 5384124.4008, 
5384229.51871, 5384130.97295, 5384125.80544, 5384193.77517, 5384273.21275, 5384130.90274, 5384135.27621, 5384091.58376)",16,47.385584783838475,1603.491088139134,503,X150.032,4.86,6.3,7.92,9.72,11.7,13.95,16.38,19.17,22.32,25.92,29.97,34.65,40.23,47.07,56.34,71.1,0.23037974683544304,NA,NA,NA,NA,NA,NA,NA,NA
150.052,0.6333570974147303,-0.24137640700444016,14,"c(861317.833663, 861317.848511, 861318.621628, 861393.26768, 861419.623465, 861426.950281, 861433.952425, 861434.738929, 861468.348392, 861525.14413, 861532.126889, 861532.469193, 861540.254636, 861658.143861, 5384288.64592, 5384210.3568, 5384355.89093, 5384127.94674, 5384164.34166, 5384243.35456, 5384322.76334, 5384390.00847, 5384124.22267, 5384230.78608, 5384388.48445, 5384309.79923, 5384456.4535, 5384322.18887)",17,46.71248659550749,1441.397741456695,151,X150.052,1.17,1.44,1.89,2.25,2.7,3.15,3.69,4.23,4.95,5.67,6.57,7.74,9.18,11.34,14.58,19.62,0.18807339449541283,NA,NA,NA,NA,NA,NA,NA,NA
150.072,-0.630011198514316,0.555939431057231,20,"c(861658.143861, 861665.122222, 861672.119962, 861749.277221, 861757.339638, 861757.402843, 861764.37804, 861771.374164, 861773.219547, 861779.780505, 861842.408965, 861842.756188, 861843.061333, 861843.407981, 861849.72802, 861885.287111, 861934.012169, 861939.836933, 861940.143675, 861947.112887, 5384322.18887, 5384479.8877, 5384559.29705, 5384308.92822, 5384455.61108, 5384376.89778, 5384534.59694, 5384614.00654, 5384748.52535, 5384682.00403, 5384576.0912, 5384497.40567, 5384419.14384, 5384340.45831, 
5384655.10513, 5384748.45621, 5384708.34136, 5384574.15071, 5384495.88878, 5384653.58857)",18,47.1550629470522,1348.8853177708506,151,X150.072,1.26,1.62,2.07,2.52,2.97,3.51,4.05,4.68,5.49,6.3,7.38,8.55,10.08,12.24,15.21,20.16,0.20089285714285712,NA,NA,NA,NA,NA,NA,NA,NA
150.091,-0.23027609090963858,0.3263015647570369,30,"c(861540.254636, 861547.235005, 861547.578353, 861548.761417, 861554.275434, 861624.158813, 861658.143861, 861665.122222, 861672.119962, 861679.441388, 861705.488155, 861749.277221, 861757.339638, 861757.402843, 861764.37804, 861771.374164, 861773.219547, 861779.780505, 861842.408965, 861842.756188, 861843.061333, 861843.407981, 861849.72802, 861885.287111, 861933.149237, 861934.012169, 861937.247679, 861939.836933, 861940.143675, 861947.112887, 5384456.4535, 5384614.15194, 5384535.46671, 5384749.06613, 
5384693.13733, 5384744.94889, 5384322.18887, 5384479.8877, 5384559.29705, 5384638.31058, 5384752.96884, 5384308.92822, 5384455.61108, 5384376.89778, 5384534.59694, 5384614.00654, 5384748.52535, 5384682.00403, 5384576.0912, 5384497.40567, 5384419.14384, 5384340.45831, 5384655.10513, 5384748.45621, 5384416.47881, 5384708.34136, 5384753.58234, 5384574.15071, 5384495.88878, 5384653.58857)",19,47.10764253058401,1337.524034564998,294,X150.091,2.7,3.51,4.32,5.31,6.3,7.38,8.64,9.99,11.61,13.41,15.57,18.09,21.24,25.47,31.68,40.95,0.210989010989011,NA,NA,NA,NA,NA,NA,NA,NA
150.111,-0.392098739294318,0.40202670917284516,28,"c(861540.254636, 861547.578353, 861658.143861, 861665.122222, 861672.119962, 861679.441388, 861742.279266, 861749.277221, 861757.339638, 861757.402843, 861764.37804, 861771.374164, 861773.219547, 861779.780505, 861842.408965, 861842.626048, 861842.756188, 861843.061333, 861843.407981, 861849.72802, 861885.287111, 861932.086186, 861933.149237, 861934.012169, 861937.247679, 861939.836933, 861940.143675, 861947.112887, 5384456.4535, 5384535.46671, 5384322.18887, 5384479.8877, 5384559.29705, 5384638.31058, 
5384229.51871, 5384308.92822, 5384455.61108, 5384376.89778, 5384534.59694, 5384614.00654, 5384748.52535, 5384682.00403, 5384576.0912, 5384273.21275, 5384497.40567, 5384419.14384, 5384340.45831, 5384655.10513, 5384748.45621, 5384349.2053, 5384416.47881, 5384708.34136, 5384753.58234, 5384574.15071, 5384495.88878, 5384653.58857)",20,47.100906418402666,1328.2020827073318,247,X150.111,1.62,2.16,2.79,3.42,4.14,5.04,6.03,7.11,8.46,10.08,12.06,14.4,17.46,21.6,27.63,36.72,0.1642156862745098,NA,NA,NA,NA,NA,NA,NA,NA
