,COV.x.y,cpid,pid.x,COV.x.x,COV.y.y,id.x,pid.y,id.y,indiv,obs_id,date,long,lat
55,618.228919,"149.452,31",31,1806.084614,1608.025736,149.452,31,149.452,149.452,31,2017-09-01 9:04,-53.98427514,48.35151199
56,186.7556845,"149.535,1",1,413.4123764,684.6769284,149.535,1,149.535,149.535,1,2017-06-25 6:43,-53.98129204,48.35128106
57,72.9798969,"149.535,2",2,624.3089961,1093.275151,149.535,2,149.535,149.535,2,2017-06-25 18:51,-53.98115345,48.35241596
58,-440.1583709,"149.535,3",3,2323.46596,703.9668314,149.535,3,149.535,149.535,3,2017-06-26 6:46,-53.98402817,48.35189399
59,845.5917063,"149.535,4",4,749.6465044,2096.976804,149.535,4,149.535,149.535,4,2017-06-27 18:25,-53.98096894,48.35430498
60,-1552.51773,"149.535,5",5,5972.501774,2917.925129,149.535,5,149.535,149.535,5,2017-06-28 6:55,-53.98762742,48.35325533
61,-116.4104896,"149.535,6",6,1339.097338,695.4556383,149.535,6,149.535,149.535,6,2017-07-16 9:59,-53.98086313,48.35191994
62,-18.16808831,"149.535,7",7,586.0764085,872.9190619,149.535,7,149.535,149.535,7,2017-07-16 16:45,-53.97992302,48.35185835
63,-23.16434412,"149.535,8",8,283.5200518,322.4266767,149.535,8,149.535,149.535,8,2017-07-19 8:51,-53.98368419,48.35086303
64,-77.34235187,"149.535,9",9,65.42799076,691.2896034,149.535,9,149.535,149.535,9,2017-07-19 16:25,-53.98368041,48.35133084
65,0.003207455,"149.535,10",10,5.738511378,0.05832469,149.535,10,149.535,149.535,10,2017-07-22 9:43,-53.98370229,48.35183761
66,53.39610668,"149.535,11",11,486.8822309,1142.908687,149.535,11,149.535,149.535,11,2017-07-24 9:34,-53.98373928,48.35218095
67,3.430115198,"149.535,12",12,333.8602805,660.507788,149.535,12,149.535,149.535,12,2017-07-27 16:58,-53.98157269,48.35119233
68,71.77010369,"149.535,13",13,306.0054169,436.72381,149.535,13,149.535,149.535,13,2017-07-29 12:20,-53.98169455,48.35112478
69,73.65129081,"149.535,14",14,390.6754755,174.0550549,149.535,14,149.535,149.535,14,2017-08-03 16:33,-53.98227043,48.35159216
70,42.20211667,"149.535,15",15,869.0239315,587.7799089,149.535,15,149.535,149.535,15,2017-08-05 9:38,-53.9830602,48.35159133
71,-222.8327856,"149.535,16",16,973.8260498,1301.840176,149.535,16,149.535,149.535,16,2017-08-08 14:04,-53.9827841,48.35127783
72,-10.25065316,"149.535,17",17,297.4288983,476.1632252,149.535,17,149.535,149.535,17,2017-08-10 18:09,-53.98052915,48.35125063
73,-10.24759718,"149.535,18",18,315.2317768,361.9117047,149.535,18,149.535,149.535,18,2017-08-11 6:14,-53.98098678,48.35138306
74,-111.5903563,"149.535,19",19,1032.372278,421.2403687,149.535,19,149.535,149.535,19,2017-08-11 17:50,-53.9812423,48.35218017
75,-351.1519455,"149.535,20",20,612.5337997,748.308007,149.535,20,149.535,149.535,20,2017-08-12 6:15,-53.9812197,48.35140309
76,327.4587041,"149.535,21",21,1221.364091,986.3507933,149.535,21,149.535,149.535,21,2017-08-12 17:44,-53.98009926,48.35224784
77,27.60577764,"149.535,22",22,732.0506455,868.6307145,149.535,22,149.535,149.535,22,2017-08-13 11:21,-53.9833066,48.35161429
78,-86.54299609,"149.535,23",23,630.5682135,625.7016729,149.535,23,149.535,149.535,23,2017-08-15 8:35,-53.98412509,48.3521226
79,-44.40217483,"149.535,24",24,305.5809999,535.585136,149.535,24,149.535,149.535,24,2017-08-16 8:47,-53.98075263,48.3511123
80,-151.9037928,"149.535,25",25,439.6427173,623.0082755,149.535,25,149.535,149.535,25,2017-08-17 9:36,-53.98048522,48.35081149
81,-142.3858181,"149.535,26",26,787.5203259,389.3704606,149.535,26,149.535,149.535,26,2017-08-18 15:41,-53.9811757,48.35106985
82,80.38717102,"149.535,27",27,436.7552821,462.5205295,149.535,27,149.535,149.535,27,2017-08-19 13:49,-53.98128339,48.35145579
83,-236.6984671,"149.535,28",28,608.7227467,1064.332925,149.535,28,149.535,149.535,28,2017-08-20 8:46,-53.98281641,48.35139575
84,-23.0503414,"149.535,29",29,549.5807485,431.1662728,149.535,29,149.535,149.535,29,2017-08-21 9:24,-53.98170572,48.35075389
85,-35.5638787,"149.535,30",30,670.9915025,107.4482893,149.535,30,149.535,149.535,30,2017-08-22 13:30,-53.98313882,48.35177383
86,-39.68152276,"149.535,31",31,554.491103,278.5863834,149.535,31,149.535,149.535,31,2017-08-23 10:18,-53.98219404,48.35170773
87,-115.380228,"149.535,32",32,675.7304848,220.785423,149.535,32,149.535,149.535,32,2017-08-24 9:29,-53.98262644,48.35162422
88,164.4860314,"149.535,33",33,780.1068676,668.9547133,149.535,33,149.535,149.535,33,2017-08-29 14:04,-53.98410831,48.35256896
89,-49.2967536,"149.535,34",34,338.8163671,305.9346193,149.535,34,149.535,149.535,34,2017-08-30 9:51,-53.98197874,48.35139302
90,-59.26344304,"149.535,35",35,649.2483307,333.3546687,149.535,35,149.535,149.535,35,2017-08-31 13:48,-53.983478,48.35244734
91,255.8713847,"149.535,36",36,736.0628579,1252.772525,149.535,36,149.535,149.535,36,2017-09-01 9:19,-53.98335495,48.35222208
92,439.8233945,"149.673,1",1,957.1649767,1741.050537,149.673,1,149.673,149.673,1,2017-06-25 18:53,-53.98421449,48.34987053
93,3439.187398,"149.673,2",2,4788.316012,4668.555888,149.673,2,149.673,149.673,2,2017-06-26 7:26,-53.98876271,48.35029968
94,-237.1496983,"149.673,3",3,681.1561877,871.2869398,149.673,3,149.673,149.673,3,2017-07-16 10:03,-53.98746247,48.35168629
95,312.4292083,"149.673,4",4,426.9443686,955.687965,149.673,4,149.673,149.673,4,2017-07-16 16:49,-53.98707453,48.35143254
96,1536.375498,"149.673,5",5,2042.632814,2008.708165,149.673,5,149.673,149.673,5,2017-07-19 8:56,-53.98678056,48.350792
97,734.367954,"149.673,6",6,1917.183561,1071.522528,149.673,6,149.673,149.673,6,2017-07-19 16:29,-53.98672164,48.35117642
98,851.1913325,"149.673,7",7,1278.67379,880.1703121,149.673,7,149.673,149.673,7,2017-07-22 9:46,-53.98729533,48.3520908
99,75.94818593,"149.673,8",8,348.0123525,1290.531974,149.673,8,149.673,149.673,8,2017-07-24 9:36,-53.98567197,48.35077226
100,79.99128407,"149.673,9",9,193.9946357,255.2291317,149.673,9,149.673,149.673,9,2017-07-27 15:58,-53.98595055,48.35113804
101,21.51894408,"149.673,10",10,452.4039214,443.0742788,149.673,10,149.673,149.673,10,2017-07-29 12:27,-53.98688485,48.35093274
102,85.56694477,"149.673,11",11,307.190356,213.2914608,149.673,11,149.673,149.673,11,2017-08-03 17:11,-53.9852413,48.35045491
103,1545.354544,"149.673,12",12,1914.759782,2315.759333,149.673,12,149.673,149.673,12,2017-08-05 11:20,-53.98595556,48.35046976
104,123.907853,"149.673,13",13,1209.047618,1662.923586,149.673,13,149.673,149.673,13,2017-08-08 14:05,-53.98544874,48.35056348
105,1500.671354,"149.673,14",14,2453.936163,2726.263691,149.673,14,149.673,149.673,14,2017-08-10 18:10,-53.98904579,48.34892901
106,16.2162116,"149.673,15",15,137.0830951,330.5598527,149.673,15,149.673,149.673,15,2017-08-11 6:19,-53.98528888,48.3511843
107,135.2023775,"149.673,16",16,377.0279781,857.0516828,149.673,16,149.673,149.673,16,2017-08-11 17:55,-53.98654165,48.3508515
108,654.8181398,"149.673,17",17,1027.796047,1165.639115,149.673,17,149.673,149.673,17,2017-08-12 6:22,-53.98592134,48.35070201
109,1204.968941,"149.673,18",18,1631.449914,2488.418046,149.673,18,149.673,149.673,18,2017-08-12 17:51,-53.98827728,48.34868586
110,16.60559519,"149.673,19",19,309.9753673,1272.957863,149.673,19,149.673,149.673,19,2017-08-13 11:29,-53.98793424,48.35204663
111,101.6200581,"149.673,20",20,585.2335652,805.3266727,149.673,20,149.673,149.673,20,2017-08-15 8:40,-53.98974635,48.3515005
112,349.6171121,"149.673,21",21,1006.025294,1367.594235,149.673,21,149.673,149.673,21,2017-08-16 8:51,-53.98918189,48.35050023
113,58.686998,"149.673,22",22,271.4875029,255.5270558,149.673,22,149.673,149.673,22,2017-08-17 9:40,-53.98640765,48.35104942
114,1113.769242,"149.673,23",23,2371.763597,1812.776332,149.673,23,149.673,149.673,23,2017-08-18 15:46,-53.98870428,48.34894678
115,290.1575923,"149.673,24",24,430.1504185,1000.871781,149.673,24,149.673,149.673,24,2017-08-19 13:45,-53.98805273,48.35116817
116,428.6670308,"149.673,25",25,1382.701099,2162.763985,149.673,25,149.673,149.673,25,2017-08-20 8:51,-53.98586603,48.35045596
117,12.43048961,"149.673,26",26,533.9421106,1902.170563,149.673,26,149.673,149.673,26,2017-08-21 9:28,-53.98660508,48.35050501
118,320.3867647,"149.673,27",27,487.1987394,908.6529258,149.673,27,149.673,149.673,27,2017-08-22 13:36,-53.98808065,48.3509507
119,666.0839357,"149.673,28",28,1597.490078,2310.010389,149.673,28,149.673,149.673,28,2017-08-23 10:23,-53.98816492,48.35035906
120,185.6693919,"149.673,29",29,814.7335025,1376.05931,149.673,29,149.673,149.673,29,2017-08-24 9:26,-53.98820838,48.35127619
121,-327.4479815,"149.673,30",30,332.441962,549.947884,149.673,30,149.673,149.673,30,2017-08-29 13:55,-53.98865854,48.35112566
122,549.4407028,"149.673,31",31,1159.094722,1782.028051,149.673,31,149.673,149.673,31,2017-08-30 9:49,-53.98783814,48.35017763
123,-142.4897103,"149.673,32",32,678.9826941,376.9981414,149.673,32,149.673,149.673,32,2017-08-31 13:47,-53.9852891,48.35110259
124,1121.057489,"149.673,33",33,3927.40507,1392.083523,149.673,33,149.673,149.673,33,2017-09-01 9:07,-53.98673631,48.35278509
125,23.43864755,"149.003,1",1,723.4316684,234.8039885,149.003,1,149.003,149.003,1,2018-06-18 16:15,-53.98200164,48.35154157
126,-58.86493383,"149.003,2",2,650.154363,453.4699262,149.003,2,149.003,149.003,2,2018-06-21 10:47,-53.98123482,48.35145958
127,542.5079648,"149.003,3",3,3468.638331,798.4212918,149.003,3,149.003,149.003,3,2018-06-23 10:25,-53.97959476,48.35198479
128,-8.975241249,"149.003,4",4,417.7835936,97.01862202,149.003,4,149.003,149.003,4,2018-06-30 11:56,-53.98074404,48.35304117
129,-6.30986138,"149.003,5",5,69.14923375,476.8406697,149.003,5,149.003,149.003,5,2018-07-01 14:55,-53.98309824,48.35047564
130,64.61537484,"149.003,6",6,689.6000946,277.0840499,149.003,6,149.003,149.003,6,2018-07-02 11:37,-53.98200343,48.35178176
131,90.64792107,"149.003,7",7,251.4652338,712.0557763,149.003,7,149.003,149.003,7,2018-07-03 12:11,-53.98518006,48.35097827
132,-134.3417574,"149.003,8",8,1462.420425,460.3579477,149.003,8,149.003,149.003,8,2018-07-04 9:00,-53.98104853,48.3513804
133,8.828017928,"149.003,9",9,64.78185971,211.0108206,149.003,9,149.003,149.003,9,2018-07-05 10:16,-53.98352064,48.35108951
134,44.48342649,"149.003,10",10,321.5071425,615.6017014,149.003,10,149.003,149.003,10,2018-07-07 16:32,-53.98027943,48.35093823
135,0.841467175,"149.003,11",11,351.1817609,45.74560191,149.003,11,149.003,149.003,11,2018-07-08 18:06,-53.98335811,48.35183974
136,41.21255664,"149.003,12",12,570.5024555,543.7556276,149.003,12,149.003,149.003,12,2018-07-09 18:12,-53.98098357,48.35177877
137,-22.58058789,"149.003,13",13,161.1575834,346.531777,149.003,13,149.003,149.003,13,2018-07-10 14:00,-53.98066633,48.35049309
138,161.0040896,"149.003,14",14,688.0700751,621.3526166,149.003,14,149.003,149.003,14,2018-07-11 15:35,-53.98145517,48.35206275
139,29.04332091,"149.003,15",15,143.8508189,260.167346,149.003,15,149.003,149.003,15,2018-07-12 9:34,-53.98482553,48.35131422
140,-80.53655483,"149.003,16",16,226.1665785,258.6629529,149.003,16,149.003,149.003,16,2018-07-14 15:17,-53.98137939,48.35057412
141,-3.088525392,"149.003,17",17,295.6965845,234.3335877,149.003,17,149.003,149.003,17,2018-07-15 9:30,-53.98242148,48.35076296
142,-89.69104956,"149.003,18",18,316.7585844,149.9163213,149.003,18,149.003,149.003,18,2018-07-21 15:04,-53.9828456,48.35128975
