.id,rank,model,ΔAICc,ΔRMSPE (μm),DOF[area],ΔRMSPE (cm),ΔRMSPE (m)
150.032,5,OU isotropic error,25.544330363719155,NA,17.669259352717646,715.2626042766485,NA
150.032,6,IID isotropic error,25.77491039614199,NA,20.141089934403073,99.3934926554914,NA
150.032,7,OUf isotropic error,26.260687819318036,NA,17.223576844850356,1018.3449187194697,NA
150.032,8,OUF isotropic error,28.226716527858912,NA,18.553030213114987,461.45922535828845,NA
150.052,1,IID isotropic error,0,NA,16.143351685210895,0,NA
150.052,2,OUf isotropic error,2.2639195769138496,NA,15.720858763587527,21.676566630242178,NA
150.052,3,OU isotropic error,2.362436164113035,NA,15.923490061206637,12.728956485790377,NA
150.052,4,OUF isotropic error,5.08848098143136,NA,15.720858748609421,21.676569002026724,NA
150.052,5,OUΩ isotropic error,5.288505949136379,NA,3.0847970537908607,30.317328998603443,NA
150.052,6,OUF anisotropic error,8.729192214476882,NA,16.31637882693507,273.5899455679444,NA
150.072,1,IID anisotropic error,0,NA,23.638807609051465,NA,2.661552238308701
150.072,2,OU anisotropic error,1.637766319587172,NA,21.774734407896222,NA,3.8571580646594725
150.072,3,OUf anisotropic error,2.0536111794446015,NA,22.436812877839984,NA,4.098489276507081
150.072,4,OUF anisotropic error,4.431683538764673,NA,22.51746524685769,NA,3.2696580182117714
150.072,5,IID isotropic error,10.015443750698182,NA,24.221446850181866,NA,0
150.072,6,OU isotropic error,11.288001109679271,NA,21.57540076616594,NA,1.992248360631777
150.072,7,OUf isotropic error,12.10998720259272,NA,23.249082445609403,NA,1.1529425688066937
150.072,8,OUF isotropic error,13.701199807014518,NA,22.823029950142153,NA,1.1019920219287798
150.091,1,IID isotropic error,0,NA,22.53231999446825,39.10566687204948,NA
150.091,2,OU isotropic error,1.3895841590111786,NA,21.730623494936015,27.719584960303223,NA
150.091,3,OUf isotropic error,1.4633291286562553,NA,21.848697815607814,22.25194994324795,NA
150.091,4,OUF isotropic error,4.027287602942124,NA,21.72366048642261,27.739699215891278,NA
150.091,5,OUF anisotropic error,9.2559258404425009,NA,21.84165243936646,0,NA
150.111,1,IID anisotropic error,0,2492921.370654642,32.67376090284189,NA,NA
150.111,2,OU anisotropic error,2.4682906212565285,2492849.5297388625,32.673825852539956,NA,NA
150.111,3,OUf anisotropic error,2.4682909216883218,2492859.744955041,1.810784262104717e-10,NA,NA
150.111,4,IID isotropic error,3.8872417102866166,0.2200604853896948,32.804307403087776,NA,NA
150.111,5,OUF anisotropic error,5.063162751940581,2492860.461505984,32.673810936360816,NA,NA
150.111,6,OU isotropic error,6.128659211242621,0.37237839478621027,32.80430029434624,NA,NA
150.111,7,OUf isotropic error,6.128659242347794,1.2003782785541262,32.804306699747855,NA,NA
150.111,8,OUF isotropic error,8.479414138257653,0,31.949529724991006,NA,NA
150.132,1,IID isotropic error,0,0,2.5805599713872125,NA,NA
150.132,2,OUf isotropic error,2.802197806684262,0.1871195820513094,8.844583625331897e-14,NA,NA
150.132,3,OU isotropic error,2.80219783209418,1.2465912249126632,2.5805599474779206,NA,NA
150.132,4,OUF isotropic error,6.071428576148037,0.18704939463987102,2.580559968365227,NA,NA
150.132,5,OUΩ isotropic error,6.07142857745805,0.2514747734494449,2.580559484991997,NA,NA
150.132,6,OUF anisotropic error,6.8572232954452375,57206601.57522313,1.2886574143920352e-9,NA,NA
150.154,1,IID isotropic error,0,NA,12.462923928637792,98.81092948000187,NA
150.154,2,OU isotropic error,2.6078431228696104,NA,6.337359897875395e-15,98.81090677473381,NA
150.154,3,OUf isotropic error,2.6078431228696104,NA,6.337359897875395e-15,98.81090677473381,NA
150.154,4,OUF isotropic error,5.5416666522813784,NA,12.462924360757354,98.81090677473381,NA
150.154,5,OUF anisotropic error,12.143063118519933,NA,0.0032405146774313384,0,NA
150.173,1,IID isotropic error,0,0.8910364925895919,7.507349820580581,NA,NA
150.173,2,OU isotropic error,2.3181818353482413,1.5410065117293925,2.0306060934967715e-13,NA,NA
150.173,3,OUf isotropic error,2.3181818353482413,1.5410065117293925,2.0306060934967715e-13,NA,NA
150.173,4,OUF isotropic error,4.785923730132595,0,7.507348665204366,NA,NA
150.173,5,OUF anisotropic error,6.699791119385509,7511906.565926254,6.718258995102025,NA,NA
150.191,1,IID isotropic error,0,522560.9736554589,30.369660747737743,NA,NA
150.191,2,IID anisotropic error,1.1746263859065493,32.98228565995487,28.370352453238706,NA,NA
150.191,3,OU isotropic error,2.2536585396605915,522561.0803309735,3.284479870086763e-13,NA,NA
150.191,4,OUf anisotropic error,3.668552559372756,0.3258467984323943,4.1204834171018695e-13,NA,NA
150.191,5,OU anisotropic error,3.6685525684385993,0.393409322896332,3.580023224470729e-12,NA,NA
150.191,6,OUf isotropic error,4.622889308124513,522561.053731522,30.369660584899858,NA,NA
150.191,7,OUΩ isotropic error,4.62288930892646,522561.08155384596,118.81008958770421,NA,NA
150.191,8,OUΩ anisotropic error,6.297286550054423,0,7.595306691324239e-10,NA,NA
150.232,1,IID anisotropic error,0,NA,23.528642285694,1784.1927262023403,NA
150.232,2,OU anisotropic error,2.6108780759127512,NA,1.5543957300625955e-8,1784.1524300309657,NA
150.232,3,OUf anisotropic error,2.6244287735173657,NA,23.465408542911923,1770.0460068984057,NA
150.232,4,OUF anisotropic error,5.318048954033316,NA,23.407524418741605,1747.9350305314226,NA
150.232,5,IID isotropic error,20.338819721356003,NA,23.155639850263775,0,NA
150.232,6,OU isotropic error,21.538557618771847,NA,22.311937446290983,111.95345986124892,NA
150.232,7,OUf isotropic error,21.781317543801606,NA,22.760134461364007,63.546948936235026,NA
150.232,8,OUF isotropic error,23.953744908107865,NA,22.80795064587482,49.13039390609697,NA
150.273,1,OU isotropic error,0,NA,17.557903599815045,154.6042005115268,NA
150.273,2,OUf isotropic error,0.394311397035608,NA,20.465497867064315,26.417751553138658,NA
150.273,3,OUF isotropic error,2.4004118801606182,NA,18.18019818256325,35.67394274404023,NA
150.273,4,IID isotropic error,5.872621573195261,NA,24.57151252106845,0,NA
150.273,5,OUF anisotropic error,7.075829015285876,NA,15.851340963082519,347.8395856574096,NA
150.314,1,OU isotropic error,0,NA,29.761364837388413,NA,3.2015058911918146
150.314,2,OUf isotropic error,1.302505291616626,NA,31.159459775294305,NA,2.742656900939778
150.314,3,OUF isotropic error,2.2968625266898925,NA,31.3116689965497,NA,2.287873744391348
150.314,4,IID isotropic error,3.1418449033558318,NA,36.14099774580382,NA,0
150.314,5,OUF anisotropic error,6.873861385427517,NA,30.455589839990797,NA,1.541908539802833
150.332,1,IID anisotropic error,0,NA,31.848679756293667,30.6581927307775,NA
150.332,2,IID isotropic error,0.9454120062086986,NA,33.18842811400677,135.5822699186973,NA
150.332,3,OU anisotropic error,2.256454451725176,NA,31.445552056944763,12.774148122528572,NA
150.332,4,OUf anisotropic error,2.280560667924192,NA,31.598564057807373,3.497752525265696,NA
150.332,5,OUf isotropic error,2.8141222084498168,NA,32.953120241489366,112.86058153841623,NA
150.332,6,OU isotropic error,2.850832251901693,NA,32.877422953824016,121.18080147922399,NA
150.332,7,OUF anisotropic error,4.847125127331992,NA,31.54780858621212,0,NA
150.332,8,OUF isotropic error,5.173878375918093,NA,32.95311993025205,112.86060279322498,NA
150.373,1,IID isotropic error,0,0.5320912492834395,10.912016485159862,NA,NA
150.373,2,OU isotropic error,2.8717948805573883,0.7612737107365319,6.84835106777182e-15,NA,NA
150.373,3,OUf isotropic error,2.8717948805573883,0.7612737107365319,1.4481129695046967e-14,NA,NA
150.373,4,OUF isotropic error,6.26573424539049,0,43.546149049641855,NA,NA
150.373,5,OUF anisotropic error,14.636149875989304,139731.79267769353,10.82061016311276,NA,NA
150.392,1,IID anisotropic error,0,5752556.167751635,15.314282746632857,NA,NA
150.392,2,OU anisotropic error,2.7350465835494333,5752608.713236498,2.2232856287726247e-11,NA,NA
150.392,3,OUf anisotropic error,2.7350479190974966,5752700.881545195,5.196243339502257e-12,NA,NA
150.392,4,IID isotropic error,3.2204319091339357,1.4044151726011478,15.15191467149179,NA,NA
150.392,5,OU isotropic error,5.584963896597401,0,1.8806900439231416e-13,NA,NA
150.392,6,OUf isotropic error,5.584963896597401,0,1.8806900439231416e-13,NA,NA
150.392,7,OUF anisotropic error,5.6888938578457555,5752690.72066061,4.264854440505267,NA,NA
150.392,8,OUF isotropic error,8.124646478169325,1.8246998649829038,1.7667913028530071,NA,NA
