"","event.id","visible","timestamp","location.long","location.lat","sensor.type","individual.taxon.canonical.name","tag.local.identifier","individual.local.identifier","study.name","utm.easting","utm.northing","utm.zone","X","COV.x.y","COV.x.x","COV.y.y"
"47",15113907457,"true","2017-08-21 09:33:00.000",-53.98415256,48.35144239,"radio-transmitter",NA,149.452,149.452,"Snowshoe Hare Space Use - Razimuth",278923.315116634,5359666.6102836,"22N",48,126.0140222,124.3805665,506.8036892
"48",15113907461,"true","2017-08-22 13:42:00.000",-53.98441758,48.35114655,"radio-transmitter",NA,149.452,149.452,"Snowshoe Hare Space Use - Razimuth",278902.402708692,5359634.49681555,"22N",49,434.5517961,547.874794,1163.953676
"49",15113907465,"true","2017-08-23 10:28:00.000",-53.98452046,48.35169082,"radio-transmitter",NA,149.452,149.452,"Snowshoe Hare Space Use - Razimuth",278897.138259486,5359695.28124696,"22N",50,168.3034764,568.1840053,216.9912488
"50",15113907467,"true","2017-08-24 09:23:00.000",-53.98445163,48.35167212,"radio-transmitter",NA,149.452,149.452,"Snowshoe Hare Space Use - Razimuth",278902.155907323,5359693.00438587,"22N",51,223.3437093,487.5725538,243.7012557
"51",15113907470,"true","2017-08-29 13:42:00.000",-53.98541897,48.35100411,"radio-transmitter",NA,149.452,149.452,"Snowshoe Hare Space Use - Razimuth",278827.606633532,5359621.55701759,"22N",52,28.01250423,1907.481536,781.1175535
"52",15113907474,"true","2017-08-30 09:37:00.000",-53.98478866,48.35190153,"radio-transmitter",NA,149.452,149.452,"Snowshoe Hare Space Use - Razimuth",278878.183625065,5359719.47256805,"22N",53,4.512478177,435.0943981,138.9241908
"53",15113907478,"true","2017-08-31 13:40:00.000",-53.98390111,48.35214932,"radio-transmitter",NA,149.452,149.452,"Snowshoe Hare Space Use - Razimuth",278945.001630858,5359744.4495366,"22N",54,292.8473885,1222.864064,1057.390607
"54",15113907482,"true","2017-09-01 09:04:00.000",-53.98427514,48.35151199,"radio-transmitter",NA,149.452,149.452,"Snowshoe Hare Space Use - Razimuth",278914.536227826,5359674.69900749,"22N",55,618.228919,1806.084614,1608.025736
"55",15113907362,"true","2017-06-25 06:43:00.000",-53.98129204,48.35128106,"radio-transmitter",NA,149.535,149.535,"Snowshoe Hare Space Use - Razimuth",279134.512661872,5359640.43067126,"22N",56,186.7556845,413.4123764,684.6769284
"56",15113907363,"true","2017-06-25 18:51:00.000",-53.98115345,48.35241596,"radio-transmitter",NA,149.535,149.535,"Snowshoe Hare Space Use - Razimuth",279149.687088213,5359766.15850727,"22N",57,72.9798969,624.3089961,1093.275151
"57",15113907365,"true","2017-06-26 06:46:00.000",-53.98402817,48.35189399,"radio-transmitter",NA,149.535,149.535,"Snowshoe Hare Space Use - Razimuth",278934.484368687,5359716.44000353,"22N",58,-440.1583709,2323.46596,703.9668314
"58",15113907367,"true","2017-06-27 18:25:00.000",-53.98096894,48.35430498,"radio-transmitter",NA,149.535,149.535,"Snowshoe Hare Space Use - Razimuth",279171.523895575,5359975.56332996,"22N",59,845.5917063,749.6465044,2096.976804
"59",15113907371,"true","2017-07-16 09:59:00.000",-53.98086313,48.35191994,"radio-transmitter",NA,149.535,149.535,"Snowshoe Hare Space Use - Razimuth",279169.04737224,5359710.19637526,"22N",61,-116.4104896,1339.097338,695.4556383
"60",15113907374,"true","2017-07-16 16:45:00.000",-53.97992302,48.35185835,"radio-transmitter",NA,149.535,149.535,"Snowshoe Hare Space Use - Razimuth",279238.419877994,5359700.64226381,"22N",62,-18.16808831,586.0764085,872.9190619
"61",15113907378,"true","2017-07-19 08:51:00.000",-53.98368419,48.35086303,"radio-transmitter",NA,149.535,149.535,"Snowshoe Hare Space Use - Razimuth",278955.502267189,5359600.87161945,"22N",63,-23.16434412,283.5200518,322.4266767
"62",15113907382,"true","2017-07-19 16:25:00.000",-53.98368041,48.35133084,"radio-transmitter",NA,149.535,149.535,"Snowshoe Hare Space Use - Razimuth",278957.807160279,5359652.85085732,"22N",64,-77.34235187,65.42799076,691.2896034
"63",15113907386,"true","2017-07-22 09:43:00.000",-53.98370229,48.35183761,"radio-transmitter",NA,149.535,149.535,"Snowshoe Hare Space Use - Razimuth",278958.379930446,5359709.23395615,"22N",65,0.003207455,5.738511378,0.05832469
"64",15113907390,"true","2017-07-24 09:34:00.000",-53.98373928,48.35218095,"radio-transmitter",NA,149.535,149.535,"Snowshoe Hare Space Use - Razimuth",278957.126062481,5359747.49782967,"22N",66,53.39610668,486.8822309,1142.908687
"65",15113907397,"true","2017-07-27 16:58:00.000",-53.98157269,48.35119233,"radio-transmitter",NA,149.535,149.535,"Snowshoe Hare Space Use - Razimuth",279113.339430444,5359631.37873212,"22N",67,3.430115198,333.8602805,660.507788
"66",15113907398,"true","2017-07-29 12:20:00.000",-53.98169455,48.35112478,"radio-transmitter",NA,149.535,149.535,"Snowshoe Hare Space Use - Razimuth",279104.020317788,5359624.22288427,"22N",68,71.77010369,306.0054169,436.72381
"67",15113907402,"true","2017-08-03 16:33:00.000",-53.98227043,48.35159216,"radio-transmitter",NA,149.535,149.535,"Snowshoe Hare Space Use - Razimuth",279063.383352708,5359677.82576335,"22N",69,73.65129081,390.6754755,174.0550549
"68",15113907406,"true","2017-08-05 09:38:00.000",-53.9830602,48.35159133,"radio-transmitter",NA,149.535,149.535,"Snowshoe Hare Space Use - Razimuth",279004.877091431,5359680.01129176,"22N",70,42.20211667,869.0239315,587.7799089
"69",15113907409,"true","2017-08-08 14:04:00.000",-53.9827841,48.35127783,"radio-transmitter",NA,149.535,149.535,"Snowshoe Hare Space Use - Razimuth",279023.972796228,5359644.37404448,"22N",71,-222.8327856,973.8260498,1301.840176
"70",15113907412,"true","2017-08-10 18:09:00.000",-53.98052915,48.35125063,"radio-transmitter",NA,149.535,149.535,"Snowshoe Hare Space Use - Razimuth",279190.892959883,5359634.84987424,"22N",72,-10.25065316,297.4288983,476.1632252
"71",15113907415,"true","2017-08-11 06:14:00.000",-53.98098678,48.35138306,"radio-transmitter",NA,149.535,149.535,"Snowshoe Hare Space Use - Razimuth",279157.566216946,5359650.88651364,"22N",73,-10.24759718,315.2317768,361.9117047
"72",15113907419,"true","2017-08-11 17:50:00.000",-53.9812423,48.35218017,"radio-transmitter",NA,149.535,149.535,"Snowshoe Hare Space Use - Razimuth",279142.085793665,5359740.21005952,"22N",74,-111.5903563,1032.372278,421.2403687
"73",15113907422,"true","2017-08-12 06:15:00.000",-53.9812197,48.35140309,"radio-transmitter",NA,149.535,149.535,"Snowshoe Hare Space Use - Razimuth",279140.399086919,5359653.78396306,"22N",75,-351.1519455,612.5337997,748.308007
"74",15113907425,"true","2017-08-12 17:44:00.000",-53.98009926,48.35224784,"radio-transmitter",NA,149.535,149.535,"Snowshoe Hare Space Use - Razimuth",279227.04874196,5359744.43616171,"22N",76,327.4587041,1221.364091,986.3507933
"75",15113907428,"true","2017-08-13 11:21:00.000",-53.9833066,48.35161429,"radio-transmitter",NA,149.535,149.535,"Snowshoe Hare Space Use - Razimuth",278986.724238768,5359683.2737198,"22N",77,27.60577764,732.0506455,868.6307145
"76",15113907432,"true","2017-08-15 08:35:00.000",-53.98412509,48.3521226,"radio-transmitter",NA,149.535,149.535,"Snowshoe Hare Space Use - Razimuth",278928.29469171,5359742.12627478,"22N",78,-86.54299609,630.5682135,625.7016729
"77",15113907437,"true","2017-08-16 08:47:00.000",-53.98075263,48.3511123,"radio-transmitter",NA,149.535,149.535,"Snowshoe Hare Space Use - Razimuth",279173.740270943,5359620.12064136,"22N",79,-44.40217483,305.5809999,535.585136
"78",15113907440,"true","2017-08-17 09:36:00.000",-53.98048522,48.35081149,"radio-transmitter",NA,149.535,149.535,"Snowshoe Hare Space Use - Razimuth",279192.248375811,5359585.91935331,"22N",80,-151.9037928,439.6427173,623.0082755
"79",15113907443,"true","2017-08-18 15:41:00.000",-53.9811757,48.35106985,"radio-transmitter",NA,149.535,149.535,"Snowshoe Hare Space Use - Razimuth",279142.217228044,5359616.62243109,"22N",81,-142.3858181,787.5203259,389.3704606
"80",15113907450,"true","2017-08-19 13:49:00.000",-53.98128339,48.35145579,"radio-transmitter",NA,149.535,149.535,"Snowshoe Hare Space Use - Razimuth",279135.909121121,5359659.82438908,"22N",82,80.38717102,436.7552821,462.5205295
"81",15113907451,"true","2017-08-20 08:46:00.000",-53.98281641,48.35139575,"radio-transmitter",NA,149.535,149.535,"Snowshoe Hare Space Use - Razimuth",279022.089662082,5359657.57229464,"22N",83,-236.6984671,608.7227467,1064.332925
"82",15113907455,"true","2017-08-21 09:24:00.000",-53.98170572,48.35075389,"radio-transmitter",NA,149.535,149.535,"Snowshoe Hare Space Use - Razimuth",279101.588582071,5359583.0361585,"22N",84,-23.0503414,549.5807485,431.1662728
"83",15113907459,"true","2017-08-22 13:30:00.000",-53.98313882,48.35177383,"radio-transmitter",NA,149.535,149.535,"Snowshoe Hare Space Use - Razimuth",278999.843071988,5359700.52024331,"22N",85,-35.5638787,670.9915025,107.4482893
"84",15113907463,"true","2017-08-23 10:18:00.000",-53.98219404,48.35170773,"radio-transmitter",NA,149.535,149.535,"Snowshoe Hare Space Use - Razimuth",279069.54197794,5359690.44937392,"22N",86,-39.68152276,554.491103,278.5863834
"85",15113907469,"true","2017-08-24 09:29:00.000",-53.98262644,48.35162422,"radio-transmitter",NA,149.535,149.535,"Snowshoe Hare Space Use - Razimuth",279037.150427028,5359682.4154489,"22N",87,-115.380228,675.7304848,220.785423
"86",15113907472,"true","2017-08-29 14:04:00.000",-53.98410831,48.35256896,"radio-transmitter",NA,149.535,149.535,"Snowshoe Hare Space Use - Razimuth",278931.470020628,5359791.68415597,"22N",88,164.4860314,780.1068676,668.9547133
"87",15113907476,"true","2017-08-30 09:51:00.000",-53.98197874,48.35139302,"radio-transmitter",NA,149.535,149.535,"Snowshoe Hare Space Use - Razimuth",279084.128982557,5359654.85319212,"22N",89,-49.2967536,338.8163671,305.9346193
"88",15113907481,"true","2017-08-31 13:48:00.000",-53.983478,48.35244734,"radio-transmitter",NA,149.535,149.535,"Snowshoe Hare Space Use - Razimuth",278977.633298532,5359776.34933977,"22N",90,-59.26344304,649.2483307,333.3546687
"89",15113907485,"true","2017-09-01 09:19:00.000",-53.98335495,48.35222208,"radio-transmitter",NA,149.535,149.535,"Snowshoe Hare Space Use - Razimuth",278985.773210019,5359750.96005076,"22N",91,255.8713847,736.0628579,1252.772525
"90",15113907364,"true","2017-06-25 18:53:00.000",-53.98421449,48.34987053,"radio-transmitter",NA,149.673,149.673,"Snowshoe Hare Space Use - Razimuth",278911.92274259,5359492.10007936,"22N",92,439.8233945,957.1649767,1741.050537
"91",15113907366,"true","2017-06-26 07:26:00.000",-53.98876271,48.35029968,"radio-transmitter",NA,149.673,149.673,"Snowshoe Hare Space Use - Razimuth",278576.860162281,5359552.92812974,"22N",93,3439.187398,4788.316012,4668.555888
"92",15113907372,"true","2017-07-16 10:03:00.000",-53.98746247,48.35168629,"radio-transmitter",NA,149.673,149.673,"Snowshoe Hare Space Use - Razimuth",278679.188033516,5359703.27230999,"22N",94,-237.1496983,681.1561877,871.2869398
"93",15113907375,"true","2017-07-16 16:49:00.000",-53.98707453,48.35143254,"radio-transmitter",NA,149.673,149.673,"Snowshoe Hare Space Use - Razimuth",278706.825247514,5359673.95118514,"22N",95,312.4292083,426.9443686,955.687965
"94",15113907379,"true","2017-07-19 08:56:00.000",-53.98678056,48.350792,"radio-transmitter",NA,149.673,149.673,"Snowshoe Hare Space Use - Razimuth",278725.825884434,5359601.91563625,"22N",96,1536.375498,2042.632814,2008.708165
